Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1851,6,1,974,80,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1851,8,3,955,100,"""Great Middle Florida""",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,8,3,961,100,"""Great Mobile""",3,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
1852,9,1,982,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,10,2,965,90,"""Middle Florida""",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1853,10,1,965,70,-----,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1854,6,1,982,70,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1854,9,3,950,100,"""Great Carolina""",0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1854,9,2,965,90,"""Matagorda""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1855,9,3,945,110,"""Middle Gulf Shore""",0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
1856,8,4,934,130,"""Last Island""",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1856,8,2,965,90,"""Southeastern States""",1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857,9,2,961,90,-----,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1858,9,1,976,80,"""New England""",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
1859,9,1,982,70,-----,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1859,10,1,974,80,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1860,8,3,945,110,-----,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
1860,9,2,965,90,-----,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
1860,10,2,965,90,-----,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1861,8,1,978,70,"""Key West""",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1861,9,1,985,70,"""Equinoctial""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1861,11,1,985,70,"""Expedition""",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1865,9,2,965,90,"""Sabine River""",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1865,10,2,969,90,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1866,7,2,965,90,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1867,6,1,985,70,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1867,10,2,965,90,"""Galveston""",0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1869,8,2,965,90,"""Lower Texas Coast""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1869,9,1,982,70,-----,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1869,9,3,963,100,"""Eastern New England""",0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0
1869,10,2,965,90,"""Saxby's Gale""",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
1870,7,1,982,70,"""Mobile""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,10,1,970,70,"""Twin Key West (I)""",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1870,10,1,977,80,"""Twin Key West (II)""",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,8,3,955,100,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,8,2,965,90,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1871,9,1,982,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,9,1,982,70,-----,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873,10,3,959,100,-----,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1874,9,1,981,80,-----,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1875,9,3,955,100,-----,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1876,9,1,980,80,-----,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1876,10,2,973,90,-----,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,9,1,982,70,-----,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1877,10,3,955,100,-----,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1878,9,2,970,90,-----,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1878,10,2,963,90,-----,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1
